t,MV,PV,DV
2.260000000000000000e+02,5.000000000000000000e+01,4.854899999999999949e+01,7.000000000000000000e+01
2.270000000000000000e+02,5.000000000000000000e+01,4.854899999999999949e+01,7.000000000000000000e+01
2.280000000000000000e+02,5.000000000000000000e+01,4.835499999999999687e+01,7.000000000000000000e+01
2.290000000000000000e+02,5.000000000000000000e+01,4.838799999999999812e+01,7.000000000000000000e+01
2.300000000000000000e+02,5.000000000000000000e+01,4.835499999999999687e+01,7.000000000000000000e+01
2.310000000000000000e+02,5.000000000000000000e+01,4.838799999999999812e+01,7.000000000000000000e+01
2.320000000000000000e+02,5.000000000000000000e+01,4.851700000000000301e+01,7.000000000000000000e+01
2.330000000000000000e+02,5.000000000000000000e+01,4.832300000000000040e+01,7.000000000000000000e+01
2.340000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+01,4.854899999999999949e+01,7.000000000000000000e+01
2.360000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.370000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.380000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.390000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.400000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.410000000000000000e+02,5.000000000000000000e+01,4.867799999999999727e+01,7.000000000000000000e+01
2.420000000000000000e+02,5.000000000000000000e+01,4.864600000000000080e+01,7.000000000000000000e+01
2.430000000000000000e+02,5.000000000000000000e+01,4.867799999999999727e+01,7.000000000000000000e+01
